"GEOID","NAME","med_income_E","med_income_M"
"06075032901","Census Tract 329.01, San Francisco County, California",46910,9220
"06075032902","Census Tract 329.02, San Francisco County, California",38023,8262
"06075033203","Census Tract 332.03, San Francisco County, California",27164,10037
"06075033204","Census Tract 332.04, San Francisco County, California",30258,15295
"06075042601","Census Tract 426.01, San Francisco County, California",48851,8493
"06075042602","Census Tract 426.02, San Francisco County, California",72067,14345
"06075047801","Census Tract 478.01, San Francisco County, California",51752,4352
"06075047802","Census Tract 478.02, San Francisco County, California",48362,8039
"06075061100","Census Tract 611, San Francisco County, California",13667,2327
"06075061200","Census Tract 612, San Francisco County, California",27255,5502
"06075061400","Census Tract 614, San Francisco County, California",61250,14745
"06075980200","Census Tract 9802, San Francisco County, California",NA,NA
"06075980300","Census Tract 9803, San Francisco County, California",84417,78940
"06075980401","Census Tract 9804.01, San Francisco County, California",NA,NA
"06075980501","Census Tract 9805.01, San Francisco County, California",11773,663
"06075980600","Census Tract 9806, San Francisco County, California",40833,18349
"06075980900","Census Tract 9809, San Francisco County, California",47292,45126
"06075990100","Census Tract 9901, San Francisco County, California",NA,NA
"06075023400","Census Tract 234, San Francisco County, California",28423,6125
"06075016500","Census Tract 165, San Francisco County, California",76355,11631
"06075030700","Census Tract 307, San Francisco County, California",70611,12631
"06075035100","Census Tract 351, San Francisco County, California",52421,7920
"06075013000","Census Tract 130, San Francisco County, California",95386,12108
"06075026002","Census Tract 260.02, San Francisco County, California",33918,5445
"06075026402","Census Tract 264.02, San Francisco County, California",29789,4467
"06075030301","Census Tract 303.01, San Francisco County, California",80550,18887
"06075030800","Census Tract 308, San Francisco County, California",65646,10278
"06075025402","Census Tract 254.02, San Francisco County, California",52007,13269
"06075026200","Census Tract 262, San Francisco County, California",28046,4100
"06075021600","Census Tract 216, San Francisco County, California",89746,13284
"06075030900","Census Tract 309, San Francisco County, California",69176,15144
"06075047901","Census Tract 479.01, San Francisco County, California",47100,7758
"06075047701","Census Tract 477.01, San Francisco County, California",43030,7104
"06075047702","Census Tract 477.02, San Francisco County, California",51411,4684
"06075060502","Census Tract 605.02, San Francisco County, California",17207,4085
"06075060700","Census Tract 607, San Francisco County, California",90134,23637
"06075047902","Census Tract 479.02, San Francisco County, California",52992,5384
"06075060400","Census Tract 604, San Francisco County, California",50223,9252
"06075010900","Census Tract 109, San Francisco County, California",86016,13303
"06075011800","Census Tract 118, San Francisco County, California",20391,6244
"06075012100","Census Tract 121, San Francisco County, California",52750,8610
"06075012800","Census Tract 128, San Francisco County, California",106400,10734
"06075020900","Census Tract 209, San Francisco County, California",63304,8636
"06075021800","Census Tract 218, San Francisco County, California",100191,18915
"06075022600","Census Tract 226, San Francisco County, California",102117,19602
"06075023102","Census Tract 231.02, San Francisco County, California",23362,3486
"06075025100","Census Tract 251, San Francisco County, California",70989,14150
"06075017000","Census Tract 170, San Francisco County, California",104890,14768
"06075018000","Census Tract 180, San Francisco County, California",78229,19533
"06075021500","Census Tract 215, San Francisco County, California",98627,11949
"06075022803","Census Tract 228.03, San Francisco County, California",45462,8653
"06075015500","Census Tract 155, San Francisco County, California",60139,12980
"06075016100","Census Tract 161, San Francisco County, California",18987,4647
"06075016300","Census Tract 163, San Francisco County, California",75746,8082
"06075017601","Census Tract 176.01, San Francisco County, California",37319,11289
"06075020100","Census Tract 201, San Francisco County, California",42283,15439
"06075020600","Census Tract 206, San Francisco County, California",99329,9641
